,distance,OrderID,WebsiteID,OrderDate,Courier,ProductsExVAT,DeliveryExVAT,DateDespatched,DeliveryCost,Weight,Volume (m3),Pallets,id,Outward Code,Country,latitude,longitude,Cluster Label
0,26.84,2295440,7700,18/04/2023,MFS,375.4,0,18/04/2023,34.46,110,0.225,0.2,766,DY6,United Kingdom,52.496759,-2.173682,1
1,26.84,2277415,67940,28/03/2023,DX Freight,236.61,0,28/03/2023,16.45,33.3,0.959,0.473039216,766,DY6,United Kingdom,52.496759,-2.173682,1
2,26.84,2279524,67940,30/03/2023,DX Freight,70.58,13.2,30/03/2023,11.79,21.8,0.2091,0.222222222,766,DY6,United Kingdom,52.496759,-2.173682,1
3,26.84,2275231,483789,27/03/2023,DX Express,76.95,7.22,27/03/2023,6.81,17.77,0.0402,0.03034188,766,DY6,United Kingdom,52.496759,-2.173682,1
4,26.84,2285334,483789,05/04/2023,DX Express,147.3,0,05/04/2023,11.46,34.7,0.100552,0.052361111,766,DY6,United Kingdom,52.496759,-2.173682,1
5,26.84,2292112,778040,14/04/2023,DX Freight,104,0,14/04/2023,20.55,44.2,0.1235,0.054166667,766,DY6,United Kingdom,52.496759,-2.173682,1
6,26.84,2298627,846996,21/04/2023,DX Freight,111.36,0,21/04/2023,23.25,51.12,0.1296,0.1,766,DY6,United Kingdom,52.496759,-2.173682,1
7,26.84,2284403,858471,04/04/2023,DX Express,21.78,7.2,04/04/2023,6.79,5.18,0.011428571,0.00952381,766,DY6,United Kingdom,52.496759,-2.173682,1
8,26.84,2284511,891098,04/04/2023,DX Express,151.16,0,05/04/2023,8.35,25,0.092,0.067222222,766,DY6,United Kingdom,52.496759,-2.173682,1
9,26.84,2290760,900460,13/04/2023,DX Express,39.3,7.18,13/04/2023,6.77,2.1,0.000612,0.006944444,766,DY6,United Kingdom,52.496759,-2.173682,1
10,26.84,2295712,901132,18/04/2023,DX Express,32.23,7.17,19/04/2023,6.76,4.41,0.0622,0.015555556,766,DY6,United Kingdom,52.496759,-2.173682,1
11,43.04,2292996,9759,16/04/2023,DX Freight,148.41,0,17/04/2023,14.77,29.24,0.219678,0.200025,1934,OX18,United Kingdom,51.767526,-1.582311,3
12,43.04,2280292,99458,30/03/2023,MFS,425.52,0,31/03/2023,40.07,75.6,2.0952,1,1934,OX18,United Kingdom,51.767526,-1.582311,3
13,43.04,2298694,99458,21/04/2023,MFS,649.2,0,21/04/2023,78.54,148.6,2.1912,1.106666667,1934,OX18,United Kingdom,51.767526,-1.582311,3
14,43.04,2287868,297632,11/04/2023,DX Express,108.9,0,11/04/2023,6.77,13.92,0.10928,0.097749405,1934,OX18,United Kingdom,51.767526,-1.582311,3
15,43.04,2297271,524321,20/04/2023,DX Freight,677.11,0,20/04/2023,47.89,115.93,1.67995,0.896428571,1934,OX18,United Kingdom,51.767526,-1.582311,3
