,outward_code_x,distance,Courier,DeliveryCost,Weight_per_line,Volume_per_line_m3,Pallet_per_line,OrderDate,DateDespatched,id,outcode,latitude,longitude,cluster_label
0,DY6,26.84,MFS,34.46,110.0,0.225,0.2,18/04/2023,2023-04-18,766,DY6,52.496759,-2.173682,1
1,DY6,26.84,DX Freight,16.45,33.3,0.9590000000000001,0.4730392156862745,28/03/2023,2023-03-28,766,DY6,52.496759,-2.173682,1
2,DY6,26.84,DX Freight,11.79,21.8,0.2091,0.2222222222222222,30/03/2023,2023-03-30,766,DY6,52.496759,-2.173682,1
3,DY6,26.84,DX Express,6.81,17.77,0.0402,0.03034188034188035,27/03/2023,2023-03-27,766,DY6,52.496759,-2.173682,1
4,DY6,26.84,DX Express,11.46,34.7,0.100552,0.05236111111111111,05/04/2023,2023-04-05,766,DY6,52.496759,-2.173682,1
5,DY6,26.84,DX Freight,20.55,44.2,0.1235,0.05416666666666667,14/04/2023,2023-04-14,766,DY6,52.496759,-2.173682,1
6,DY6,26.84,DX Freight,23.25,51.12,0.1296,0.1,21/04/2023,2023-04-21,766,DY6,52.496759,-2.173682,1
7,DY6,26.84,DX Express,6.79,5.18,0.01142857142857143,0.009523809523809525,04/04/2023,2023-04-04,766,DY6,52.496759,-2.173682,1
8,DY6,26.84,DX Express,8.35,25.0,0.092,0.06722222222222222,04/04/2023,2023-04-05,766,DY6,52.496759,-2.173682,1
9,DY6,26.84,DX Express,6.77,2.1,0.000612,0.006944444444444444,13/04/2023,2023-04-13,766,DY6,52.496759,-2.173682,1
10,DY6,26.84,DX Express,6.76,4.41,0.06220000000000001,0.01555555555555556,18/04/2023,2023-04-19,766,DY6,52.496759,-2.173682,1
11,OX18,43.04,DX Freight,14.77,29.24,0.219678,0.200025,16/04/2023,2023-04-17,1934,OX18,51.767526,-1.582311,2
12,OX18,43.04,MFS,40.07,75.6,2.0952,1.0,30/03/2023,2023-03-31,1934,OX18,51.767526,-1.582311,2
13,OX18,43.04,MFS,78.54,148.6,2.1912,1.106666666666667,21/04/2023,2023-04-21,1934,OX18,51.767526,-1.582311,2
14,OX18,43.04,DX Express,6.77,13.92,0.10928,0.09774940476190476,11/04/2023,2023-04-11,1934,OX18,51.767526,-1.582311,2
15,OX18,43.04,DX Freight,47.89,115.93,1.67995,0.8964285714285714,20/04/2023,2023-04-20,1934,OX18,51.767526,-1.582311,2
16,OX18,43.04,MFS,40.07,144.48,1.38,1.0,04/04/2023,2023-04-04,1934,OX18,51.767526,-1.582311,2
17,OX18,43.04,DX Freight,21.89,48.0,2.540272,1.8125,03/04/2023,2023-04-03,1934,OX18,51.767526,-1.582311,2
18,OX18,43.04,DX Freight,20.17,43.9,1.952005,1.291666666666667,17/04/2023,2023-04-17,1934,OX18,51.767526,-1.582311,2
19,OX18,43.04,DX Freight,14.06,27.7,0.29533,0.2071296296296296,08/04/2023,2023-04-11,1934,OX18,51.767526,-1.582311,2
20,OX18,43.04,DX Freight,11.36,20.4,0.214875,0.1136363636363636,05/04/2023,2023-04-05,1934,OX18,51.767526,-1.582311,2
21,OX18,43.04,DX Freight,12.85,24.42,0.550028,0.3845833333333333,18/04/2023,2023-04-18,1934,OX18,51.767526,-1.582311,2
22,OX18,43.04,DX Express,6.76,10.0,0.13866,0.1111111111111111,20/04/2023,2023-04-20,1934,OX18,51.767526,-1.582311,2
23,OX18,43.04,DX Freight,21.32,46.25,0.718654761904762,0.5234487734487735,21/04/2023,2023-04-21,1934,OX18,51.767526,-1.582311,2
24,OX18,43.04,DX Express,6.76,16.01,0.021816,0.025,21/04/2023,2023-04-24,1934,OX18,51.767526,-1.582311,2
25,CV5,2.34,DX Freight,14.45,28.5,0.04406,0.04432291666666667,05/04/2023,2023-04-05,597,CV5,52.424186,-1.562449,0
26,CV5,2.34,DX Freight,19.95,42.44,0.36033,0.3285714285714286,29/03/2023,2023-03-30,597,CV5,52.424186,-1.562449,0
27,CV5,2.34,DX Freight,25.17,56.71,0.775375,0.594047619047619,18/04/2023,2023-04-18,597,CV5,52.424186,-1.562449,0
28,CV5,2.34,MFS,34.46,177.66,0.37467,0.4440919158361019,18/04/2023,2023-04-18,597,CV5,52.424186,-1.562449,0
